Column,business_id,name,neighborhood,address,postal_code,latitude,longitude,stars,review_count,categories
124,0953KSZ26LmJ7CDacVzpYg,"dd's DISCOUNTS",Eastside,3430 E Tropicana Ave,89121,36.1009,-115.099617,2.5,3,"Department Stores;Home Decor;Shopping;Fashion;Women's Clothing;Discount Store;Home & Garden;Men's Clothing"
125,DAG8irsIf0hMsEgDbrOE_A,"Layla's Palace",Eastside,3430 E Tropicana Ave,89121,36.1009,-115.099617,5,5,Wedding Planning;Venues & Event Spaces;Shopping;Bridal;Event Planning & Services
133,W1Yr6c2XDx_RBjb6WsV-aQ,Divine Cafe at the Springs Preserve,Westside,333 S Valley View Blvd,89152,36.1707,-115.19028848100001,4,140,Restaurants;Cafes;American (New);Bars;Nightlife;Wine Bars
140,NC03ZDFpIYpEi2aiFTmGPg,Office Depot,,6115 W Tropicana Ave,89103,36.0999,-115.22573200000001,3,6,Office Equipment;Shopping
145,vzx1WdVivFsaN4QYrez2rw,Subway,,5111 Boulder Hwy,89122,36.1129,-115.06235339999999,3,3,Sandwiches;Restaurants;Fast Food
150,aWnASLfWj1G6ptH4SR5RRA,Rocky Mountain Chocolate Factory,Westside,9795 W Charleston Blvd,89117,36.1585,-115.311185382,2,3,Chocolatiers & Shops;Desserts;Specialty Food;Food
153,PJ-VbAtIOso1dqd2frQqqg,Donut Tyme,Sunrise,4268 E Charleston Blvd,89104,36.1593,-115.082178745,4.5,76,Donuts;Food
193,P5TLch0Fu9p3o6W2hRSz0g,Terrible Herbst,Southeast,1785 E Sunset Rd,89119,36.0714,-115.1282562,4.5,5,Automotive;Gas Stations
213,WghcqSAGCzKOhprLblYWVA,Get Results Personal Training,Westside,7980 W Sahara Ave,89117,36.1448,-115.26499939,5,25,Active Life;Boot Camps;Trainers;Fitness & Instruction;Gyms
274,dPxZI9lrKTl5dvFfnb1_Ig,Trattoria Italia,Anthem,9905 S Eastern Ave,89183,36.0101,-115.11865630000001,4.5,210,Seafood;Italian;Pizza;Restaurants
287,-jaX1hGZuerfwcNltMF_fg,Jackson Hewitt Tax Service,Spring Valley,7200 Arroyo Crossing Pkwy,89113,36.0645,-115.24859199999999,2.5,3,Financial Services;Accountants;Tax Services;Professional Services
303,WfB_SsYeKy83QQsqAAyGVQ,Cancun Bar & Grill,Southeast,5006 S Maryland Pkwy,89119,36.0986,-115.1360793,4.5,5,Karaoke;Bars;Mexican;Restaurants;Nightlife;Dance Clubs
323,UWqwC68hvQmor1lX9XZNcA,Bodyheat Tanning,Sunrise,5841 E Charleston Blvd,89142,36.158,-115.0460999,3.5,12,Beauty & Spas;Tanning
366,u29lf2yPd-qK5ThAS9FRQQ,Kinthai,Westside,4105 W Sahara Ave,89102,36.144,-115.195895992,4.5,61,Restaurants;Thai
379,KYEZATGRY5aD69ZR6VvyWQ,North Forty Saloon and BBQ,Centennial,5990 Centennial Center Blvd,89149,36.2718,-115.26327939299999,3.5,31,Dance Clubs;Nightlife;Restaurants;Barbeque;American (Traditional)
482,hgErlZ_LUHXJfD5rLfIjOw,Allison Barfield,Downtown,1025 S 1st St,89101,36.1596,-115.1523871,5,10,Hair Extensions;Hair Stylists;Hair Salons;Beauty & Spas
505,bs5ZQW4z83ml6kuZWd-Q1A,Enliven Skin and Beauty,Westside,8751 W Charleston Blvd,89117,36.1585,-115.2857741,4.5,12,Beauty & Spas;Skin Care;Hair Removal
506,m5mXo_UzCUZPfL7BXzApFQ,Hair by Erika Shear,Westside,1225 S Fort Apache Rd,89117,36.157,-115.292491731,5,4,Hair Stylists;Hair Extensions;Event Planning & Services;Blow Dry/Out Services;Beauty & Spas;Hair Salons;Wedding Planning
538,AfL8Ds7ex73tfVbq3EFWKg,Baja Fresh,Westside,8780 W Charleston Blvd,89117,36.1595,-115.28745079999999,5,6,Restaurants;Mexican
574,0Yeb_P24sj6MwG2qmuehkA,"Till's Bar",,344 E Desert Inn Rd,89109,36.1299,-115.161028004,4.5,42,Bars;Sports Bars;Arts & Entertainment;Casinos;Karaoke;Nightlife
630,jkAr4Dnoh7fZL66DNv6jqg,Red Mango,Eastside,4480 Paradise Rd,89169,36.1088,-115.152093,4,36,Desserts;Food
653,CEKhwiJvjYr0m7qVGVQY8g,Metro Pcs,Spring Valley,6910 S Rainbow Blvd,89118,36.0625,-115.24200060000001,1.5,7,Na
691,_ewxwEwJM-IYfIYnKpQOZw,Mexicali Raspados,Eastside,4865 S Pecos Rd,89121,36.1007,-115.10108329999998,4.5,47,Restaurants;Ice Cream & Frozen Yogurt;Shaved Ice;Hot Dogs;Food
736,34YwmimX2PXqFlm0p18jyA,J & A Flowers And Gifts,Southeast,6400 S Eastern Ave,89119,36.0731,-115.11729151,3.5,10,Event Planning & Services;Wedding Planning;Floral Designers;Flowers & Gifts;Shopping;Florists
772,KhWl4Mwhm_Oqq0zIIz-0wQ,Carnival World & Seafood Buffet,,3700 W Flamingo Rd,89103,36.1175,-115.18884399999999,2.5,508,Buffets;Seafood;Restaurants
778,v0byOL8VL6v6muGa1anxFA,The Hummus Factory,Westside,7875 W Sahara Ave,89117,36.1432,-115.26286599999999,4.5,214,Event Planning & Services;Caterers;Burgers;Greek;Restaurants;Middle Eastern;Mediterranean
789,aNe8ofTYrealxqv7VtFTuw,Sierra Gold,Spring Valley,6515 S Jones Blvd,89118,36.0703,-115.22495249999999,3.5,215,American (New);Restaurants;Pubs;Nightlife;Sports Bars;Bars;Food;Pizza;Breweries
798,pidpBdWsOFfe7pWypBIoiQ,Miga Korean Bistro,,6112 W Flamingo Rd,89103,36.1146,-115.22522109999998,4,42,Hawaiian;Asian Fusion;Restaurants;Korean
801,PgJgpW4TKQ8IoALH2Yq-zA,Bayside Buffet at Mandalay Bay,The Strip,3950 S Las Vegas Blvd,89109,36.0912,-115.1758039,3,1033,Arts & Entertainment;Restaurants;Buffets;American (Traditional);Casinos
834,7kO8bObVGFa-T3mj6PVYsg,Quiznos,Eastside,730 E Flamingo Rd,89119,36.115,-115.147904,5,4,Restaurants;Sandwiches
850,IdjZYxqGmqrFpAikkoIDcg,Sin City Ink,Eastside,3430 E Tropicana Ave,89121,36.101,-115.0999655,4,43,Permanent Makeup;Beauty & Spas;Piercing;Arts & Entertainment;Tattoo
857,hJX8WoV-KbFVHojZ6i83Cg,Quiznos,Downtown,901 S Rancho Dr,89106,36.1605,-115.17233,3.5,17,Sandwiches;Fast Food;Restaurants;Delis
862,gwYt_q3Ob7aQJIefIBsZiQ,"Raising Cane's",Spring Valley,7135 S Rainbow Blvd,89118,36.0587,-115.2433571,4,264,Fast Food;Chicken Shop;American (Traditional);Chicken Wings;Restaurants
868,kiU9C58n7dgygdrpjOQXMQ,Los Jarochos Restaurant,Spring Valley,4811 S Rainbow Blvd,89147,36.1013,-115.244375,4,62,Restaurants;Mexican
874,D3wJGU2sSW1E1DDUcllKIQ,Jiffy Lube,Sunrise,4310 E Charleston Blvd,89104,36.1593,-115.08094299999999,4,22,Automotive;Oil Change Stations;Auto Repair
883,VOHbo_5g1rLwu65AkMHacQ,"Hair'z Melinda",Summerlin,10300 W Charleston Blvd,89135,36.1605,-115.320934542,4.5,8,Hair Salons;Beauty & Spas
913,bAdwf-n52f46-ZjlfJ1Hwg,"Roberto's Taco Shop",Centennial,7251 W Azure Dr,89130,36.273,-115.25186219999999,2.5,26,Fast Food;Mexican;Restaurants
918,crGdKSRKi25R2vorZ7skzg,Tortilleria San Diego,Downtown,235 N Eastern Ave,89101,36.1657,-115.11657849999999,4.5,3,Restaurants;Mexican
940,nVdeotsn3RFApGYyQ9aEZg,USA Money Today,Westside,2550 S Rainbow Blvd,89146,36.1439,-115.24195528700001,5,17,Title Loans;Auto Loan Providers;Check Cashing/Pay-day Loans;Automotive;Financial Services
950,GvGeGfc_2KjYQMKgRIasNQ,U.S. Bank,,2300 W Sahara Ave,89102,36.1452,-115.1742771,3,6,Financial Services;Banks & Credit Unions
963,l_eFv9Q9Q8RBLqfJJXi9ug,Subway,University,1196 E Tropicana Ave,89119,36.1016,-115.1374328,2,4,Sandwiches;Restaurants;Fast Food
974,4Zqv7NyeiuqMOV8wWlhB4A,ReVamp Extensions,Spring Valley,9640 W Tropicana Ave,89147,36.1012,-115.3024855,4.5,8,Hair Extensions;Hair Salons;Blow Dry/Out Services;Hair Stylists;Beauty & Spas
1001,Y4JxC1jgesxOzqUyGFwlEA,"UNLV Rock n' Brew Beer & Music Festival",,4321 W Flamingo Rd,89103,36.1139,-115.195951313,3,3,Bars;Nightlife;Festivals;Arts & Entertainment
1045,z8XIldYr65CKOz8yOI5R8A,JW Marriott Las Vegas Resort & Spa,Westside,221 N Rampart Blvd,89145,36.1758,-115.291116797,3.5,326,Venues & Event Spaces;Day Spas;Event Planning & Services;Hotels;Hotels & Travel;Resorts;Beauty & Spas
1078,CXImGdRuyHEfPUbppCCm6A,Silver Saddle Saloon,Downtown,2501 E Charleston Blvd,89104,36.1591,-115.11578159999999,2,6,Nightlife;Bars
1093,AYe8rS3qBPuLHSwNOZSbcA,Sushi Loca,South Summerlin,10965 Lavender Hill Dr,89135,36.1451,-115.33282447100001,3,229,Food;Sushi Bars;Restaurants
1104,KPsu_1Q9XYRKWs_ZBTtlTg,Sky Lounge,The Strip,3745 S Las Vegas Blvd,89109,36.1066,-115.1709543,2.5,6,Bars;Pizza;Lounges;Restaurants;Nightlife
1124,wwEg_6bHfTrOpn_bygIQZg,Little Ceasars,,4388 E Craig Rd,89115,36.2412,-115.077913174,2,20,Restaurants;Pizza
1155,6KBLgGDSZFJXaPuHOxvxUQ,Law Office of Rodney K Okano,,2300 W Sahara Ave,89102,36.1449,-115.1737665,4.5,6,Bankruptcy Law;Personal Injury Law;Lawyers;Professional Services
1184,aoXfMlw7yh2q2s6t1iPDNw,Signature Bar,The Strip,3475 S Las Vegas Blvd,89109,36.1193,-115.17177020000001,2,3,Bars;Nightlife
1193,HexCnP_tQFgXH6QD9UlJWw,WinCo Foods,Centennial,6101 N Decatur Blvd,89130,36.2699,-115.208240497,4,146,Food;Grocery
1219,9CNObWIk7w8poCo5IAtgmw,"Raising Cane's",,3535 W Tropicana Ave,89103,36.1005,-115.186880296,4,55,Restaurants;Chicken Wings;Food;Chicken Shop;Fast Food;American (Traditional)
1239,7KkgMcbVaetryW1wwpzvvA,Cafe Rio,Northwest,5765 Centennial Center Blvd,89149,36.2648,-115.25774299999999,3.5,153,Restaurants;Mexican
1262,peM10ug_NOc4ZsbT_eyPXg,KIKO MILANO,The Strip,3200 S Las Vegas Blvd,89109,36.1277,-115.17441470000001,3.5,14,Beauty & Spas;Shopping;Cosmetics & Beauty Supply
1321,V95WeBY9vb4VTqWs0ZdYqQ,All Star Dry Cleaners,Centennial,6410 N Durango,89149,36.2776,-115.2870976,4,14,Laundry Services;Dry Cleaning & Laundry;Local Services;Shoe Repair;Dry Cleaning;Sewing & Alterations
1328,9y7EXkufgR8wkI3f0FEBeQ,Ai Bijoux,Westside,420 S Rampart Blvd,89145,36.1672,-115.2855925,5,5,Fashion;Shopping;Personal Shopping;Lingerie
1332,2ux8STqB09dO3DgjxO4KSA,Allstate Insurance Agent: Moe Elousta,Eastside,1955 E Tropicana Ave,89119,36.1003,-115.126227,2.5,5,Home & Rental Insurance;Insurance;Financial Services;Life Insurance;Auto Insurance
1334,EeuXipW5hKLYcMX3aoBs-w,Summer Dental,South Summerlin,10965 Lavender Hill Dr,89135,36.1461,-115.33402920000002,5,15,Orthodontists;Endodontists;Dentists;Cosmetic Dentists;Health & Medical;General Dentistry
1357,G54fcIaoI89tc6X285suRA,"DD'Coffee Shop",Spring Valley,4255 S Durango Dr,89147,36.1121,-115.2793898,3.5,39,American (New);Music Venues;Burgers;Persian/Iranian;Nightlife;Arts & Entertainment;Mediterranean;Coffee & Tea;Bars;Restaurants;Breakfast & Brunch;Cocktail Bars;Food
1359,Y3mYtN9A_BPiz3DHX8868A,Speed Zone Tavern,,4355 E Craig Rd,89115,36.2404,-115.0786793,4.5,3,Nightlife;Sports Bars;Bars
1391,JmhfF3IgDb1XsJ7vPmwGtQ,Trifecta Gallery,Downtown,107 E Charleston Blvd,89104,36.1591,-115.152673,4,13,Shopping;Arts & Entertainment;Art Galleries
1395,GisIy4El3OAxJwnkovgv_A,Hot Dog on a Stick,Westside,4300 Meadows Ln,89107,36.1725,-115.197258,3,20,Hot Dogs;Restaurants
1435,hqw9J5DhdYYDtq6FwmoXvg,Quest Diagnostics,Spring Valley,4180 S Rainbow Blvd,89103,36.1127,-115.241859908,2.5,33,Diagnostic Services;Laboratory Testing;Health & Medical;Medical Centers
1465,tro-hrljuY1cUAVFYauTlQ,In-N-Out Burger,University,4705 S Maryland Pkwy,89119,36.1042,-115.13759990000001,4.5,275,Burgers;Restaurants;Fast Food
1481,_QvGAqMmrUIlxpby2Ul5Dg,Dona Maria Tamales Restaurant,Northwest,3205 N Tenaya Way,89129,36.2191,-115.251756703,3.5,242,Food;Desserts;Mexican;Seafood;Restaurants
1512,aHEdPu_F941X_qQHboxhMA,Gymboree Outlet,Southeast,7400 Las Vegas Blvd S,89123,36.0524,-115.16902069999999,2,7,"Shopping;Fashion;Children's Clothing;Baby Gear & Furniture"
1519,YYRP-b61hjDljhWBfmUlDg,KFC,,4924 Boulder Hwy,89121,36.1139,-115.066,2,19,Restaurants;Fast Food;Chicken Wings
1570,JKTMgelIQ-VHn7SL5nyiWA,Buddha Thai Bistro,Southeast,9400 S Eastern Ave,89123,36.0182,-115.1179256,4.5,86,Chinese;Asian Fusion;Thai;Restaurants
1576,i4bUaov9vS29k5Gi1qxYwA,The Stretch Doc,Westside,6985 W Sahara Ave,89117,36.143,-115.24417240000001,5,5,Fitness & Instruction;Active Life;Trainers;Health & Medical;Chiropractors;Doctors;Sports Medicine
1618,azLlbmrwtHk7iMBJ1xGYBQ,John Fish Jewelers,Downtown,953 E Sahara Ave,89104,36.1437,-115.1418906,4.5,40,Appraisal Services;Jewelry;Local Services;Jewelry Repair;Shopping
1619,C4XsC2ZBtsl1EgjdVue3yA,Pinoy Pinay Filipino Restaurant,Downtown,1217 E Sahara Ave,89104,36.1454,-115.1360328,3.5,114,Filipino;Asian Fusion;Restaurants
1628,Qqe-BdqLp718Ce-FLmE7vQ,Royal Carriage,,3111 S Valley View Blvd,89102,36.1203,-115.19130200000001,4.5,22,Used Car Dealers;Automotive;Car Dealers
1649,FIdEDlPT3GE_lrtGbCTuRQ,Superior Insurance,Westside,4750 W Sahara Ave,89102,36.1456,-115.2065554,5,6,Auto Insurance;Home & Rental Insurance;Insurance;Financial Services
1677,J121PGT4oi5AqVbtMoEfVw,La Parrilla,Eastside,4161 S Eastern Ave,89119,36.113,-115.1194493,3.5,6,Restaurants;Mexican
1679,VmSrPPO2WXmOKjUW7pDGsQ,"Mega Tom's Burgers",,2893 W Lake Mead Blvd,89106,36.1971,-115.17853249999999,3,133,Breakfast & Brunch;Diners;Burgers;Restaurants
1681,_w6ptb6X7YsDiwllNhOMSQ,Majestic Eyebrow Threading,Southeast,3421 E Tropicana Ave,89121,36.0994,-115.09999350000001,5,102,Threading Services;Beauty & Spas;Eyelash Service;Event Planning & Services;Eyebrow Services;Hair Removal;Henna Artists
1684,sFRN5maBBOPkXYuqLs8ueQ,David Barton Gym,Westside,410 S Rampart Blvd,89145,36.1672,-115.285999775,4,95,Active Life;Gyms;Fitness & Instruction;Trainers;Sports Clubs
1708,k41bo3i0k-PXQAKvVOLi_g,Starbucks,Spring Valley,6365 S Rainbow Blvd,89118,36.0725,-115.242852,3.5,70,Coffee & Tea;Food
1709,LpGCzgAKNSpzDNEUMVVtZA,"Grimaldi's Pizzeria",Spring Valley,7155 S Rainbow Blvd,89118,36.0583,-115.243319197,4,459,Pizza;Restaurants
1729,iFCz-xI7CV98fcaB4Chh3g,The Black Sheep,Spring Valley,8680 W Warm Springs Rd,89148,36.0561,-115.2808739,4.5,178,Cocktail Bars;Nightlife;Restaurants;Wine Bars;American (New);Bars
1753,cISQE8tQ29Q043hmY7LT2g,California Hotel-Casino & R V Park,,200 N Main St,89101,36.1743,-115.145311,3,3,Event Planning & Services;Arts & Entertainment;Hotels & Travel;Hotels;Casinos
1754,h0G1wnCQCqgk66IXMo9-Ow,DC Fit Las Vegas,Spring Valley,9640 W Tropicana Ave,89147,36.1011,-115.30261471899999,5,5,Boxing;Martial Arts;Kickboxing;Fitness & Instruction;Active Life;Gyms
1767,lzF-nrG9kblOm5eweaBJGg,The Art of Shaving,The Strip,3200 Las Vegas Blvd,89109,36.1275,-115.172192,4.5,10,Barbers;Shopping;Cosmetics & Beauty Supply;Beauty & Spas
1808,2GfKCR3S8I2m0iiyEd3sKA,Blue Agave,,4321 W Flamingo Rd,89103,36.1145,-115.19568400000001,1.5,5,Restaurants;Mexican;Seafood
1820,82YGtjc5KKikNiqBZ33qzw,Kyara Japanese Tapas,Spring Valley,6555 S Jones Blvd,89118,36.0699,-115.2249867,4,428,Food;Restaurants;Japanese;Tapas Bars;Desserts
1832,DHUAQ4pzH9KKzGZDm1jZLg,Krispy Kreme Doughnuts,Chinatown,7015 W Spring Mountain Rd,89103,36.1253,-115.245750385,3,133,Donuts;Cafes;Restaurants;Coffee & Tea;Food
1857,kMGfuOZeBDNQJ4_pBjE26Q,Taqueria Del Paisano,,3603 N Las Vegas Blvd,89115,36.2267,-115.081340857,4.5,6,Restaurants;Mexican
1868,VEcI0bURmJtf0B9UPSEMDA,Millano Pizzeria,,4850 W Flamingo Rd,89103,36.1165,-115.2068875,4,12,Pizza;Restaurants
1893,Rv1IiQaIIDunqzS8dSvHCw,Plumeria Thai Cafe,Northwest,6710 W Cheyenne Ave,89108,36.2192,-115.24270378799999,4.5,218,Asian Fusion;Restaurants;Thai;Hawaiian
1913,s71FeGvSVeNwcui320Amaw,Bose Factory Store,Southeast,7400 Las Vegas Blvd S,89123,36.0548,-115.16962680399999,2.5,5,Shopping;Electronics
1917,FT99KLluYZA7vFZEIypIwQ,Fracos & Froccs,Southeast,6593 Las Vegas Blvd S,89119,36.0682,-115.177230835,3.5,11,Food;Desserts;Restaurants;American (New)
1962,tZW4NLpEYinu4mIxdKj0Pw,The Rose Grill,Downtown,3328 E Charleston Blvd,89104,36.1586,-115.0996395,3.5,3,Restaurants;Burgers;Salad;Pizza
1967,gPzDw2Ms6JZRZhA2tyxItw,Burger King,Eastside,3355 S Maryland Pkwy,89169,36.1282,-115.1374956,2.5,11,Fast Food;Burgers;Restaurants
1979,GGvjkKM74UnOh2NyvwTLZQ,Jjanga Fusion Pocha,Westside,6145 W Sahara Ave,89146,36.1429,-115.22655549999999,4.5,16,Bars;Restaurants;Nightlife;Pizza;Soup;Karaoke;Asian Fusion
1987,f2ZWZPENViL92BrFsIgR6w,Amazing Cuts,Centennial,6955 N Durango Dr,89149,36.2873,-115.2895402,4.5,70,Beauty & Spas;Hair Salons
1988,MXpCVzm1V5OH05KO6n7ntA,The Corndog Company LV,Centennial,5720 Centennial Center Blvd,89149,36.2657,-115.25996459999999,5,7,Food Trucks;Restaurants;Hot Dogs;Food;Street Vendors
1999,qtZ50TWkfNS2UtLLuD1m8Q,"Freddy's Frozen Custard & Steakburgers",Westside,4675 W Charleston Blvd,89102,36.1586,-115.2047571,4.5,113,Hot Dogs;Burgers;Fast Food;Ice Cream & Frozen Yogurt;Restaurants;Food
2011,F2ZWxWi_Ci8nyRiXA0WS4Q,Food 4 Less,,4001 S Decatur,89103,36.118,-115.209370283,3,21,Discount Store;Grocery;Food;Shopping
2035,2oCM63whZH_IW6kzxciysg,Taqueria El Pastorcito 2,Westside,4820 W Charleston Blvd,89146,36.1594,-115.20734263899999,3.5,3,Mexican;Food Trucks;Street Vendors;Restaurants;Food
2036,V1EdIokE0YYN__dNYfXRdA,Pokeman,Chinatown,3735 Spring Mountain Rd,89102,36.1261,-115.1891408,4,171,Hawaiian;Food;Japanese;Restaurants;Sushi Bars;Poke
2045,mY6IEru1uZ9tHnQA7eTKsQ,First and Goal Sports,Spring Valley,5130 S Fort Apache Rd,89148,36.0957,-115.29671709999998,2,16,Sporting Goods;Shopping;Sports Wear;Fashion
2082,vuqHcBCbxH36hCFsZ1W-0Q,"Mulligan's Pub",Southeast,6471 Boulder Hwy,89122,36.0841,-115.031260665,3.5,47,Nightlife;Irish;Bars;Restaurants;Irish Pub;Pubs
2085,R6Rq3DuLi3olnbH-QyuoMw,Susan G Komen Race For the Cure,,4850 W Flamingo Rd,89103,36.175,-115.14998559600001,4.5,8,Local Flavor;Health & Medical;Local Services;Doctors;Community Service/Non-Profit;Oncologist
2086,Q7yo8bbIdmcmdde8ZtWAkw,Rebel Oil,,4115 S Decatur Blvd,89103,36.1148,-115.20871100000001,2,17,Automotive;Gas Stations
2133,MqjaeEeOKymKO0czkXxrPw,"Toothfairy Children's Dental",Westside,8000 W Sahara Ave,89117,36.1445,-115.266672505,1,18,General Dentistry;Dentists;Cosmetic Dentists;Health & Medical;Periodontists;Pediatric Dentists
2147,CXzTEvEKc2V-1ovvwPoPVw,Massage Envy - West Flamingo,Spring Valley,9484 W Flamingo Rd,89147,36.1158,-115.298727,3.5,88,Health & Medical;Skin Care;Massage;Beauty & Spas;Massage Therapy;Day Spas
2156,mDtlBsfTUPDuASvUcKWSbw,L&L Hawaiian Barbecue,,6118 W Flamingo Rd,89103,36.1159,-115.22632040000002,4,65,Barbeque;Hawaiian;Restaurants
2182,Kf6p7BKKe3c26M1fiA7Gsg,Big Foot Pet Grooming,Westside,101 S Rainbow Blvd,89145,36.1722,-115.2429831,4.5,6,Pets;Pet Groomers;Pet Training;Pet Services
2206,0u7aKx5XsGr7ugRlaCT40A,"Smith's",,4001 S Decatur Blvd,89103,36.1173,-115.2093939,3,17,Shopping;Grocery;Department Stores;Fashion;Convenience Stores;Food
2225,pUcejpQYh5J20dcUpYpaWQ,Locksmith Solutions,Southwest,7345 S Durango Dr,89113,36.0548,-115.280529,2.5,4,Home Services;Keys & Locksmiths
2234,kviNaI_LfaR1i1bcr3H_4Q,Crystal Palace Skating Centers,Northwest,3901 N Rancho Dr,89130,36.2284,-115.22352649999999,3,70,Party & Event Planning;Active Life;Event Planning & Services;Skating Rinks
2284,lPgE2MIteQVzs39bwfmS6Q,"Susan's Alterations",Westside,1725 S Rainbow Blvd,89146,36.1526,-115.2442777,3.5,6,Sewing & Alterations;Local Services
2295,Kpkp-GrhL-yUHMOtg0deWA,Terrible Herbst,Eastside,3375 E Flamingo Rd,89121,36.1148,-115.1012162,2,4,Automotive;Gas Stations
2309,T5nTtSCSRoEYMsZPhF61wg,Waffles Cafe,Centennial,6446 N Durango Dr,89149,36.278,-115.286947773,4,270,Breakfast & Brunch;Coffee & Tea;Restaurants;Food
2321,gKFDJ9IpFxt95DHxTN7ZHw,Gyro Time Restaurant,Northwest,7660 W Cheyenne Ave,89129,36.2192,-115.26247120000001,3.5,75,Restaurants;Mediterranean;Greek
2328,0zgu-ktM767MGgo8DN20-w,Kids Kingdom,Spring Valley,4975 S Fort Apache,89148,36.0983,-115.29910009999999,4,54,Playgrounds;Kids Activities;Active Life;Child Care & Day Care;Event Planning & Services;Party & Event Planning;Local Services
2348,hJgdrSbwhkp3-GbAyS79Gg,Pit Boss BBQ,,1600 N Martin Luther King Blvd,89106,36.1888,-115.160131,4,11,Barbeque;American (Traditional);Restaurants
2364,71aOEuRuypjW4tqmTr4A3g,Dollar Rent A Car,The Strip,3799 S Las Vegas Blvd,89119,36.1034,-115.16939620000001,1.5,8,Hotels & Travel;Car Rental
2386,cWnla16N9MrlsCMc3uCjtA,Southern Wine & Spirits of Nevada,Southwest,8400 S Jones Blvd,89139,36.0372,-115.22455149999999,4.5,8,Food;Beer;Wine & Spirits
2397,ZTON6J1WYxgsCVJXQAKXFQ,"Gary's Speed Wash",Spring Valley,3665 S Fort Apache Rd,89147,36.1234,-115.297722294,3.5,22,Automotive;Car Wash
2403,GjbF1ZEbIpC2KqUbZ7KQWQ,Dynamite Grill,Southwest,10450 S Decatur Blvd,89141,35.9999,-115.20749509999999,3,93,Restaurants;American (Traditional);Sushi Bars
2431,vAuzGR-ufeLu3Y_U5UlO_w,Stick E Rice,Eastside,2544 E Desert Inn Rd,89121,36.1309,-115.11500249999999,4,53,Thai;Restaurants
2438,EpLubXwajxLet8lTbJwJKQ,PostNet,Sunrise,6895 E Lake Mead Blvd,89156,36.1942,-115.025472,3,4,Shipping Centers;Notaries;Printing Services;Local Services
2465,beuVp5CZxCdNvQIIPBS2rw,Chubby Cattle,Chinatown,3400 S Jones Blvd,89146,36.1273,-115.22436119999999,4.5,516,Do-It-Yourself Food;Barbeque;Restaurants;Hot Pot;Chinese;Fondue;Mongolian;Food
2480,FB50TrfcJOHAL7a0JmAb0g,31KreationsLV,Northwest,3231 N Decatur Blvd,89130,36.218,-115.20801461799999,2.5,3,Local Services;Arts & Crafts;Graphic Design;Professional Services;Screen Printing;Shopping;Embroidery & Crochet;Screen Printing/T-Shirt Printing
2487,krPKgiC0EolDhSHz3kLp6g,International Marketplace,,5000 S Decatur Blvd,89118,36.0995,-115.2069423,4,255,Grocery;Specialty Food;Ethnic Food;Imported Food;Seafood Markets;Food;International Grocery
2495,oL_fYqSHG63vR0TBMyoo_A,"Green Leaf's & Bananas",Downtown,875 S Grand Central Pkwy,89106,36.1637,-115.157758,2,23,Soup;Restaurants;Ice Cream & Frozen Yogurt;Food;Salad;Juice Bars & Smoothies
2526,PAjWYqHa9xjDUs_sXHFuWg,Tibet Foot Massage,Chinatown,5115 W Spring Mountain Rd,89146,36.1257,-115.21101536399999,3.5,21,Beauty & Spas;Massage
