,flagged_reviews,one_star_count,total_reviews,total_stars,word_count,proportion_flagged_reviews,average_flagged_words_per_review,average_stars_per_review,proportion_one_star,name,neighborhood,address,postal_code,stars,review_count,categories
Gml97gSULiA6HFjie01d3Q,28,30,239,934,28,0.11715481171548117,0.11715481171548117,3.907949790794979,0.12552301255230125,Pellegrini Pizza,Westside,101 S Rainbow Blvd,89107.0,4.0,239.0,Food Delivery Services;Restaurants;Salad;Sandwiches;Food;Pizza
WrHu03srbhJAw6bnTIixdw,27,58,381,1342,37,0.07086614173228346,0.09711286089238845,3.522309711286089,0.15223097112860892,Kobe Sushi Bistro,Spring Valley,6375 S Rainbow Blvd,89118.0,3.5,381.0,Restaurants;Burgers;Sushi Bars;Asian Fusion;Japanese
YNHvFEvp9VDNwX5VhRanYQ,37,41,384,1302,48,0.09635416666666667,0.125,3.390625,0.10677083333333333,Mac Shack Spring Valley,Southwest,8680 W Warm Springs Rd,89148.0,3.5,384.0,Italian;Restaurants
g8OnV26ywJlZpezdBnOWUQ,258,214,3051,11591,352,0.08456243854473942,0.11537200917731891,3.7990822681088168,0.07014093739757457,Hash House A Go Go,Westside,6800 W Sahara Ave,89146.0,4.0,3050.0,Restaurants;Breakfast & Brunch;American (New)
v2xh5qtrlRJSU3OnixJH2g,1,5,65,258,1,0.015384615384615385,0.015384615384615385,3.9692307692307693,0.07692307692307693,Pasta Fresh,Spring Valley,4165 S Grand Canyon Dr,89147.0,4.0,65.0,Restaurants;Food;Italian
qmymSqVwHYRqdwfcBatzpQ,99,42,610,2458,129,0.16229508196721312,0.21147540983606558,4.029508196721311,0.06885245901639345,Vintner Grill,Summerlin,10100 W Charleston Blvd,89135.0,4.0,610.0,Restaurants;Nightlife;Bars;American (Traditional);Cocktail Bars;Sandwiches;American (New);Wine Bars
ZpMoI5EECS6Rm7KigN1gPg,34,42,328,1155,38,0.10365853658536585,0.11585365853658537,3.5213414634146343,0.12804878048780488,Jasmine,The Strip,3600 S Las Vegas Blvd,89109.0,3.5,328.0,Chinese;Japanese;Bars;Nightlife;Restaurants
BIBWGO_r_1znnlmLbp4Nxg,588,348,1710,5439,908,0.34385964912280703,0.5309941520467836,3.180701754385965,0.20350877192982456,Golden Nugget,Downtown,129 E Fremont St,89101.0,3.0,1710.0,Hotels;Arts & Entertainment;Hotels & Travel;Casinos;Event Planning & Services
lsXRQ6DxyrbMFhl8croN8Q,4,10,103,397,4,0.038834951456310676,0.038834951456310676,3.854368932038835,0.0970873786407767,Yuki Shaved Snow,Centennial,8414 Farm Rd,89131.0,4.0,103.0,Desserts;Shaved Snow;Ice Cream & Frozen Yogurt;Food;Shaved Ice
vIr0LbBNDTB0HV0DZrnk6A,2,22,125,396,4,0.016,0.032,3.168,0.176,Lily,The Strip,3600 S Las Vegas Blvd,89109.0,3.0,124.0,Bars;Nightlife;Lounges
N6MzDoao6s68nAIW8vS9dQ,61,34,558,2445,65,0.10931899641577061,0.11648745519713262,4.381720430107527,0.06093189964157706,Biaggio's Pizzeria,Spring Valley,4235 S Fort Apache Rd,89147.0,4.5,558.0,Specialty Food;Pasta Shops;Restaurants;Italian;Pizza;Food
HhVmDybpU7L50Kb5A0jXTg,211,356,2673,9257,282,0.07893752338196783,0.10549943883277217,3.463150018705574,0.1331836887392443,Guy Fieri's Vegas Kitchen & Bar,The Strip,3535 S Las Vegas Blvd,89109.0,3.5,2674.0,American (New);Burgers;Restaurants;Pubs;Nightlife;American (Traditional);Bars;Breakfast & Brunch;African
Hsn3CYnTsrQ2nJzTKefDQA,13,14,109,433,15,0.11926605504587157,0.13761467889908258,3.9724770642201834,0.12844036697247707,Pho Saigon 8,Spring Valley,6910 S Rainbow Blvd,89118.0,4.0,110.0,Coffee & Tea;Restaurants;Food;Sandwiches;Vietnamese
8bYXg27QEoAx7us15eIL5g,3,36,86,198,3,0.03488372093023256,0.03488372093023256,2.302325581395349,0.4186046511627907,Applebee's Neighborhood Grill & Bar,Westside,4605 W Charleston Blvd,89102.0,2.5,86.0,Burgers;Bars;Nightlife;Chicken Wings;Restaurants;American (Traditional);Steakhouses;Sports Bars;Fast Food
zRqi6L1u-YmmVAHjeUbGMQ,23,33,951,4104,28,0.024185068349106203,0.029442691903259727,4.315457413249211,0.03470031545741325,SkinnyFATS,Spring Valley,8680 W Warm Springs Rd,89148.0,4.5,952.0,Restaurants;American (New);Breakfast & Brunch;Food;Juice Bars & Smoothies
gBy6UXTpoSHhW6qd15XU0g,20,13,176,710,27,0.11363636363636363,0.1534090909090909,4.034090909090909,0.07386363636363637,Lakes Lounge,The Lakes,2920 Lake East Dr,89117.0,4.0,176.0,American (Traditional);Restaurants
tVW7pefO8xIgWMF86oVhKQ,3,7,100,395,3,0.03,0.03,3.95,0.07,Firehouse Subs,Spring Valley,6070 S Rainbow Blvd,89118.0,4.0,100.0,Delis;Restaurants;Fast Food;Sandwiches
C6C_dc78Zhzei9wrZs-tdQ,289,129,556,1682,385,0.5197841726618705,0.6924460431654677,3.0251798561151078,0.23201438848920863,El Cortez Hotel & Casino,Downtown,600 Fremont St,89101.0,3.0,555.0,Hotels & Travel;Casinos;Hotels;Arts & Entertainment;Event Planning & Services
LYNKKnl4jAiU1-U-97gR5Q,30,82,357,1176,43,0.08403361344537816,0.12044817927170869,3.2941176470588234,0.22969187675070027,SlotZilla,Downtown,425 Fremont St,89101.0,3.5,357.0,Ziplining;Active Life;Amusement Parks
OKZkEXzJt0XIamHRRTX-8g,115,177,894,2631,124,0.12863534675615212,0.13870246085011187,2.942953020134228,0.19798657718120805,Carlo's Bakery,The Strip,3355 Las Vegas Blvd,89109.0,3.0,894.0,Cupcakes;Bakeries;Food;Desserts
awI4hHMfa7H0Xf0-ChU5hg,229,70,2127,9416,259,0.1076633756464504,0.12176774800188059,4.426892336624354,0.032910202162670425,Oyster Bar,,2411 W Sahara Ave,89102.0,4.5,2125.0,Restaurants;Bars;Seafood;Nightlife
CauQnqZ5eowyrr7oWF_p3Q,36,30,979,4304,40,0.03677221654749745,0.04085801838610827,4.39632277834525,0.030643513789581207,John Mull's Meats & Road Kill Grill,Northwest,3730 Thom Blvd,89130.0,4.5,980.0,Butcher;Meat Shops;Specialty Food;Food;Restaurants;Caterers;Barbeque;Event Planning & Services
xTlmLL2xZZ0xhZ2J16zXQQ,27,25,288,1147,32,0.09375,0.1111111111111111,3.982638888888889,0.08680555555555555,Holley's Cuppa,Southwest,9265 S Cimarron Rd,89178.0,4.0,288.0,Food;Bakeries;Coffee & Tea;Juice Bars & Smoothies
2YBO1LEKIgyle0uX50u15Q,4,19,165,569,4,0.024242424242424242,0.024242424242424242,3.4484848484848483,0.11515151515151516,Noodle Exchange,,4000 W Flamingo Rd,89103.0,3.5,165.0,Noodles;Restaurants;Chinese
t6WY1IrohUecqNjd9bG42Q,63,52,355,1260,76,0.17746478873239438,0.2140845070422535,3.5492957746478875,0.14647887323943662,Red Velvet Cafe,Westside,7875 W Sahara Ave,89117.0,3.5,355.0,Vegetarian;Restaurants;Vegan;Cafes
qsJkjQoM3Hdg6Gtqp2S9_w,50,54,489,1823,74,0.10224948875255624,0.15132924335378323,3.7280163599182004,0.11042944785276074,Archi's Thai Cafe,Westside,9350 W Sahara Ave,89117.0,3.5,489.0,Thai;Restaurants
QC2L9OB9MxVZVgsCFQcbtA,2,5,58,263,2,0.034482758620689655,0.034482758620689655,4.5344827586206895,0.08620689655172414,The Birthday Suit,South Summerlin,3700 S Hualapai Way,89147.0,4.5,58.0,Beauty & Spas;Hair Removal;Waxing;Skin Care
E8JxHzlUrwio8gxV9k8a9Q,11,5,41,150,11,0.2682926829268293,0.2682926829268293,3.658536585365854,0.12195121951219512,Levy's Bagels & Deli,Westside,7875 W Sahara,89117.0,3.5,41.0,Breakfast & Brunch;Delis;Restaurants;Kosher
2sx52lDoiEtef7xgPCaoBw,46,26,970,4361,57,0.04742268041237113,0.058762886597938144,4.495876288659794,0.026804123711340205,VegeNation,Downtown,616 Carson Ave,89101.0,4.5,970.0,Vegan;Bars;Nightlife;Wine Bars;Restaurants;Sandwiches;Vegetarian;Live/Raw Food;Waffles
6xgcHeLad-VaoTIQewK84A,57,42,842,3417,155,0.06769596199524941,0.1840855106888361,4.058194774346793,0.0498812351543943,N9NE Steakhouse,,4321 W Flamingo Rd,89103.0,4.0,842.0,Restaurants;Steakhouses;American (Traditional);Seafood
9J-Vg2-uqjreSRtITaDlMg,0,1,22,93,0,0.0,0.0,4.2272727272727275,0.045454545454545456,Odyssey Pizza,Downtown,1930 Fremont St,89101.0,4.0,22.0,Pizza;Restaurants
dm6sO_Y8JdKTE1ZM955yug,32,23,423,1822,37,0.07565011820330969,0.08747044917257683,4.307328605200945,0.054373522458628844,Chada Thai & Wine,Chinatown,3400 S Jones Blvd,89146.0,4.5,423.0,Restaurants;Wine Bars;Thai;Nightlife;Bars
gBQH64vIkA-kIDFGM290dw,15,21,124,426,17,0.12096774193548387,0.13709677419354838,3.435483870967742,0.1693548387096774,Sultan's Grill,Summerlin,1910 Village Center Cir,89134.0,3.5,124.0,Restaurants;Mediterranean;Greek
NQXuoB9JTPUItHvouMgWjQ,57,35,538,2235,70,0.10594795539033457,0.13011152416356878,4.154275092936803,0.06505576208178439,Violette's Vegan Organic Cafe & Juice Bar,Westside,8560 W Desert Inn Rd,89117.0,4.0,538.0,Juice Bars & Smoothies;Vegetarian;Vegan;Restaurants;Food
87YsVbCN_kfzheY79Fzjkg,51,30,177,693,51,0.288135593220339,0.288135593220339,3.9152542372881354,0.1694915254237288,Pastry Palace,Westside,4523 W Sahara Ave,89102.0,4.0,177.0,Custom Cakes;Food;Cupcakes;Desserts;Bakeries
vGAJwqvfJLoeHdaM-8eRng,32,70,201,540,62,0.15920398009950248,0.30845771144278605,2.6865671641791047,0.3482587064676617,Chili's,Centennial,6505 N Decatur Blvd,89131.0,2.5,202.0,Tex-Mex;American (Traditional);Restaurants;Nightlife;Bars
6TvB1PZCY1Ap2S-yNJPs4w,10,64,132,293,11,0.07575757575757576,0.08333333333333333,2.2196969696969697,0.48484848484848486,Hooters,Eastside,115 E Tropicana Ave,89109.0,2.0,132.0,American (Traditional);Nightlife;Burgers;American (New);Bars;Restaurants;Chicken Wings;Sports Bars
AbadN65irz8uSL8z6fkoBg,45,18,88,246,45,0.5113636363636364,0.5113636363636364,2.7954545454545454,0.20454545454545456,BBQ King,Chinatown,5650 Spring Mountain Rd,89146.0,3.0,88.0,Chinese;Cantonese;Barbeque;Restaurants
WzkbnhI-fxdH_tMzT3evtA,11,8,59,221,11,0.1864406779661017,0.1864406779661017,3.7457627118644066,0.13559322033898305,Mr D's Sportsbar & Grill,Westside,1810 S Rainbow Blvd,89146.0,3.5,59.0,Restaurants;Nightlife;Sports Bars;Karaoke;Bars;American (Traditional)
F1ISXp1sC0iQ2Ee138J73g,33,90,182,387,40,0.1813186813186813,0.21978021978021978,2.1263736263736264,0.4945054945054945,Einstein Bros Bagels,Southwest,3837 Blue Diamond Rd,89139.0,2.0,182.0,Coffee & Tea;Bagels;Food
U1XLS-uQJVnQRvshnvAeXQ,4,14,90,304,4,0.044444444444444446,0.044444444444444446,3.3777777777777778,0.15555555555555556,The Little Kitchen Cafe,Chinatown,4215 Spring Mountain Rd,89102.0,3.5,90.0,Food;Chinese;Taiwanese;Restaurants;Shaved Ice
